證券代碼,年月日,流通在外股數(百萬股),董監持股數
2491 吉祥全,9/20/2019,82,"21,300"
2492 華新科,9/20/2019,485,"138,601"
2493 揚博,9/20/2019,114,"14,789"
2495 普安,9/20/2019,276,"39,190"
2496 卓越,9/20/2019,17,"3,434"
2497 怡利電,9/20/2019,118,"29,413"
2498 宏達電,9/20/2019,818,"55,260"
2499 東貝,9/20/2019,461,"47,529"
2501 國建,9/20/2019,"1,159","33,050"
2504 國產,9/20/2019,"1,385","140,608"
2505 國揚,9/20/2019,696,"51,742"
2506 太設,9/20/2019,387,"20,483"
2509 全坤建,9/20/2019,204,"29,124"
2511 太子,9/20/2019,"1,623","427,350"
2514 龍邦,9/20/2019,505,"113,517"
2515 中工,9/20/2019,"1,530","176,074"
2516 新建,9/20/2019,226,"16,679"
2520 冠德,9/20/2019,503,"96,305"
2524 京城,9/20/2019,384,"51,039"
2527 宏璟,9/20/2019,270,"74,879"
2528 皇普,9/20/2019,277,"133,998"
2530 華建,9/20/2019,270,"28,241"
2534 宏盛,9/20/2019,740,"73,829"
2535 達欣工,9/20/2019,296,"22,021"
2536 宏普,9/20/2019,332,"111,344"
2537 聯上發,9/20/2019,300,"68,629"
2538 基泰,9/20/2019,438,"26,904"
2539 櫻花建,9/20/2019,461,"96,784"
2540 愛山林,9/20/2019,146,"68,071"
2542 興富發,9/20/2019,"1,166","64,007"
2543 皇昌,9/20/2019,241,"119,947"
2545 皇翔,9/20/2019,327,"100,489"
2546 根基,9/20/2019,106,"36,248"
2547 日勝生,9/20/2019,912,"117,989"
2548 華固,9/20/2019,276,"44,165"
2596 綠意,9/20/2019,100,"51,260"
2597 潤弘,9/20/2019,135,"13,441"
2601 益航,9/20/2019,630,"66,257"
2603 長榮,9/20/2019,"4,512","464,531"
2605 新興,9/20/2019,585,"30,074"
2606 裕民,9/20/2019,845,"341,739"
2607 榮運,9/20/2019,"1,067","521,012"
2608 嘉里大榮,9/20/2019,467,"42,631"
2609 陽明,9/20/2019,"2,601","1,281,180"
2610 華航,9/20/2019,"5,420","2,387,093"
2611 志信,9/20/2019,175,"59,127"
2612 中航,9/20/2019,197,"41,882"
2613 中櫃,9/20/2019,148,"68,905"
2614 東森,9/20/2019,556,"30,954"
2615 萬海,9/20/2019,"2,218","93,792"
2616 山隆,9/20/2019,137,"36,697"
2617 台航,9/20/2019,417,"161,176"
2618 長榮航,9/20/2019,"4,853","1,300,363"
2630 亞航,9/20/2019,120,"99,785"
2633 台灣高鐵,9/20/2019,"5,628","3,468,527"
2634 漢翔,9/20/2019,941,"342,365"
2636 台驊投控,9/20/2019,117,"13,845"
2637 慧洋-KY,9/20/2019,646,"201,341"
2640 大車隊,9/20/2019,53,"17,243"
2641 正德,9/20/2019,151,"33,109"
